iso3,country_id,country_name,country_name_dos_short,country_name_dos_long,region,highland_population_total_2015,highland_population_total_2025,highland_absolute_change_2015_2025,highland_percent_change_2015_2025,lowland_population_total_2015,lowland_population_total_2025,lowland_absolute_change_2015_2025,lowland_percent_change_2015_2025,highland_minus_lowland_growth_difference_pp,highland_youth_share_2025_percent,lowland_youth_share_2025_percent,country_share_global_highland_2025_population_percent,country_share_global_highland_absolute_growth_percent
BTN,38,Bhutan,Bhutan,Kingdom of Bhutan,Asia,380617.682051847,410193.80601780856,29576.123965961568,7.770559635201805,126257.54525244498,136002.73238142318,9745.1871289782,7.7184988108973895,0.05206082430441583,20.509605841579507,19.96334325374007,0.07858555047489299,0.03799092648861965
MWI,163,Malawi,Malawi,Republic of Malawi,Africa,269180.06571072654,349821.42946920975,80641.3637584832,29.958148477883267,1963398.0415300166,2559468.4876893265,596070.4461593099,30.35912400599169,-0.40097552810842174,40.151234698415585,42.20491011853791,0.06701931915948602,0.10358490943628855
SOM,223,Somalia,Somalia,Federal Republic of Somalia,Africa,227540.75004321962,320033.465792082,92492.71574886239,40.64885772385566,10596491.939209655,15071263.30011512,4474771.360905465,42.22879974407094,-1.5799420202152774,46.48642766203109,46.570233174423294,0.061312495973102815,0.11880812944900647
ARG,8,Argentina,Argentina,Argentine Republic,South America,258156.65510636987,273219.7749771285,15063.119870758615,5.834875674443514,36158508.165071644,38266790.71761456,2108282.5525429174,5.8306679659407905,0.004207708502723229,26.473428263318148,20.93389089185054,0.052343858201193486,0.019348778777024962
CRI,56,Costa Rica,Costa Rica,Republic of Costa Rica,North America,239439.40993474144,256107.3292085823,16667.919273840846,6.9612263404690315,1578725.5581128388,1694169.319617486,115443.76150464732,7.312465482768602,-0.3512391422995709,17.716537403086633,21.595524200244302,0.04906542992908405,0.02141016505677021
CHL,45,Chile,Chile,Republic of Chile,South America,229103.37690420446,252522.90235068154,23419.525446477084,10.22225240105018,11443801.101288952,12628600.538151452,1184799.4368625004,10.353198437965272,-0.1309460369150912,17.835430738126746,17.13790319995923,0.04837872000408608,0.03008269341376294
RUS,210,Russia,Russia,Russian Federation,Europe,224817.74320534657,227637.40288291103,2819.6596775644575,1.2541980171863059,138701283.10119498,138049586.3428753,-651696.7583196759,-0.4698563299116742,1.7240543470979801,17.155269854799734,17.154197100220003,0.04361111833427321,0.0036218905376701753
NGA,171,Nigeria,Nigeria,Federal Republic of Nigeria,Africa,170558.25922609243,212425.40963877164,41867.15041267921,24.54712577546891,161526416.35654402,201649711.31048566,40123294.95394164,24.840082420559504,-0.2929566450905945,45.17086148575814,40.05601345911915,0.04069678163446661,0.0537789142162992
VNM,263,Vietnam,Vietnam,Socialist Republic of Vietnam,Asia,186042.53646461017,204808.00236017507,18765.465895564907,10.086653435374203,85914640.66978045,94353119.14804222,8438478.478261769,9.82193304013889,0.26472039523531343,27.83406685483969,22.57165842454694,0.03923742721370781,0.024104491723918407
LKA,137,Sri Lanka,Sri Lanka,Democratic Socialist Republic of Sri Lanka,Asia,183766.75678758416,191456.4443806482,7689.687593064038,4.184482399040508,18898014.95458852,20264992.363062385,1366977.4084738642,7.233444421325087,-3.048962022284579,24.480330567483264,21.71475183781846,0.03667951551897828,0.009877506478021303
