iso3,country_name,elevation_group,pop_total_2015,pop_total_2025,pop_total_change_2015_2025,pop_total_pct_change_2015_2025,growth_percent,elevation_label
SAU,Saudi Arabia,1500-2499m,2152600.6303598783,2273038.3774063196,120437.7470464413,5.594988004175496,5.594988004175496,"1,500-2,499 m"
SAU,Saudi Arabia,2500-3499m,66232.02975819455,71676.77573198997,5444.74597379542,8.220714348742678,8.220714348742678,"2,500-3,499 m"
SDN,Sudan,1500-2499m,108166.05332036654,143369.6008813087,35203.547560942156,32.5458371460371,32.5458371460371,"1,500-2,499 m"
SDN,Sudan,2500-3499m,3364.631847846001,4243.263323955308,878.6314761093067,26.113747828660554,26.113747828660554,"2,500-3,499 m"
SGS,South Georgia and South Sandwich Islands,1500-2499m,,,,,,"1,500-2,499 m"
SLB,Solomon Islands,1500-2499m,,,,,,"1,500-2,499 m"
SLV,El Salvador,1500-2499m,17236.642035660065,17749.595384147782,512.9533484877174,2.9759470982021483,2.9759470982021483,"1,500-2,499 m"
SOM,Somalia,1500-2499m,227540.75004321962,320033.465792082,92492.71574886239,40.64885772385566,40.64885772385566,"1,500-2,499 m"
SRB,Serbia,1500-2499m,452.1378224654064,299.79677879589167,-152.3410436695147,-33.6934970047038,-33.6934970047038,"1,500-2,499 m"
SSD,South Sudan,1500-2499m,47147.70218426872,48025.51594060225,877.8137563335331,1.8618378323141782,1.8618378323141782,"1,500-2,499 m"
SSD,South Sudan,2500-3499m,18.72918425811804,13.184402252054497,-5.544782006063542,-29.60503740925179,-29.60503740925179,"2,500-3,499 m"
SVK,Slovakia,1500-2499m,373.20458927575976,378.37583333803434,5.171244062274582,1.385632495117461,1.385632495117461,"1,500-2,499 m"
SVN,Slovenia,1500-2499m,217.8777006450474,224.3719010969776,6.4942004519301975,2.9806632035786618,2.9806632035786618,"1,500-2,499 m"
SWE,Sweden,1500-2499m,0.8722549413960561,0.9452288303491877,0.07297388895313162,8.366119294931812,8.366119294931812,"1,500-2,499 m"
SWZ,Eswatini,1500-2499m,7169.324733898427,7918.592676407425,749.2679425089973,10.451025310183873,10.451025310183873,"1,500-2,499 m"
SYR,Syria,1500-2499m,59893.91341567469,73866.49920132046,13972.585785645773,23.328891015475108,23.328891015475108,"1,500-2,499 m"
SYR,UNDOF Zone - Syria Sovereignty,1500-2499m,9.500672654001391,11.24896887399882,1.7482962199974281,18.40181515212083,18.40181515212083,"1,500-2,499 m"
TCD,Chad,1500-2499m,997.1802154751088,1403.1256498075152,405.9454343324064,40.70933498605293,40.70933498605293,"1,500-2,499 m"
TCD,Chad,2500-3499m,240.6309090955183,445.6846157871187,205.05370669160038,85.21503220943426,85.21503220943426,"2,500-3,499 m"
THA,Thailand,1500-2499m,2436.258001057032,2477.414414297856,41.15641324082435,1.6893290128946772,1.6893290128946772,"1,500-2,499 m"
TJK,Tajikistan,1500-2499m,443126.95292616927,560357.3651889708,117230.41226280155,26.45526558217136,26.45526558217136,"1,500-2,499 m"
TJK,Tajikistan,2500-3499m,54797.3825179289,68547.1163245273,13749.733806598408,25.091953620411882,25.091953620411882,"2,500-3,499 m"
