elevation_m,broad_age_group,population_count
-290,working_age_15_64,1102.5246387124
-290,young_0_14,514.1954509318
-289,old_age_65_plus,45.8302322409
-289,working_age_15_64,675.5081664603
-289,young_0_14,317.3478121758
-288,old_age_65_plus,18.4946150286
-288,working_age_15_64,268.1387576461
-288,young_0_14,128.0083758682
-287,old_age_65_plus,74.3258480793
-287,working_age_15_64,1078.6510130744
-287,young_0_14,513.5232827980
-286,old_age_65_plus,41.0212358792
-286,working_age_15_64,608.8541330965
-286,young_0_14,306.6037470857
-285,old_age_65_plus,0.3908615917
-285,working_age_15_64,6.0138515797
-285,young_0_14,3.6243158560
-284,old_age_65_plus,29.0644120597
-284,working_age_15_64,427.6242141431
-284,young_0_14,199.0354314951
-283,old_age_65_plus,10.3635181362
-283,working_age_15_64,153.8797364235
-283,young_0_14,75.6873423420
-282,old_age_65_plus,93.3226393334
-282,working_age_15_64,1364.3204383068
-282,young_0_14,657.2322156765
-281,old_age_65_plus,33.6749906872
-281,working_age_15_64,493.7215597816
-281,young_0_14,229.1961815804
-280,old_age_65_plus,24.2444945548
-280,working_age_15_64,354.4104917850
-280,young_0_14,166.3984214821
-279,old_age_65_plus,35.9048584294
-279,working_age_15_64,531.2292256951
-279,young_0_14,247.8656417355
-278,old_age_65_plus,47.8363236526
-278,working_age_15_64,730.2027249634
-278,young_0_14,421.1272935066
-277,old_age_65_plus,44.3176113743
-277,working_age_15_64,649.5314290909
-277,young_0_14,298.6573535098
-276,old_age_65_plus,17.5393640289
-276,working_age_15_64,259.2239964502
-276,young_0_14,125.4561805066
-275,old_age_65_plus,92.6378285167
-275,working_age_15_64,1386.1823878419
-275,young_0_14,713.7220907747
-274,old_age_65_plus,45.4821539721
-274,working_age_15_64,662.1655454608
-274,young_0_14,320.6946558086
-273,old_age_65_plus,19.7180021961
-273,working_age_15_64,298.2773934908
-273,young_0_14,167.0508451767
-272,old_age_65_plus,21.6634513655
-272,working_age_15_64,330.8058957011
-272,young_0_14,177.3485521451
-271,old_age_65_plus,42.1600136092
-271,working_age_15_64,581.3077088764
-271,young_0_14,294.9575570503
-270,old_age_65_plus,44.1896495051
-270,working_age_15_64,649.9375862200
-270,young_0_14,301.7032348393
-269,old_age_65_plus,74.8768006139
-269,working_age_15_64,1101.3218752190
-269,young_0_14,513.8777141951
-268,old_age_65_plus,214.0748479705
-268,working_age_15_64,3099.2220437624
-268,young_0_14,1512.3405324463
-267,old_age_65_plus,118.7738367156
-267,working_age_15_64,1740.0781254359
-267,young_0_14,804.7104524821
-266,old_age_65_plus,121.3905324594
-266,working_age_15_64,1851.6217515059
-266,young_0_14,1062.2261787504
-265,old_age_65_plus,218.0568650713
-265,working_age_15_64,3248.4034110624
-265,young_0_14,1696.8732416686
-264,old_age_65_plus,309.1667022602
-264,working_age_15_64,4486.0094187278
-264,young_0_14,2126.4284677058
-263,old_age_65_plus,105.0584491893
-263,working_age_15_64,1543.1890136413
-263,young_0_14,711.8623508234
-262,old_age_65_plus,24.0405437336
-262,working_age_15_64,347.8846087139
-262,young_0_14,163.7323641093
-261,old_age_65_plus,108.3924305170
-261,working_age_15_64,1587.6126982228
-261,young_0_14,730.9966867583
-260,old_age_65_plus,123.3277695878
-260,working_age_15_64,1814.4165670350
-260,young_0_14,845.1763649732
-259,old_age_65_plus,21.5573498895
-259,working_age_15_64,317.5545502645
-259,young_0_14,161.2331142067
-258,old_age_65_plus,74.1081911430
