removed_iso3,removed_country_name,removed_region,removed_highland_population_2025,removed_highland_absolute_growth_2015_2025,remaining_highland_population_2015,remaining_highland_population_2025,remaining_highland_absolute_change_2015_2025,remaining_highland_growth_percent,remaining_lowland_population_2015,remaining_lowland_population_2025,remaining_lowland_absolute_change_2015_2025,remaining_lowland_growth_percent,remaining_highland_minus_lowland_growth_difference_pp,contrast_reverses_highland_not_greater_than_lowland
MAF,Saint Martin,North America,0,0,444120534.38739049,521971028.43844026,77850494.051049769,17.529136354488749,5728254267.7257442,6242332041.9571829,514077774.23143864,8.9744231000335812,8.5547132544551676,False
NCL,New Caledonia,Oceania,0,0,444120534.38739049,521971028.43844026,77850494.051049769,17.529136354488749,5728009287.4405603,6242064151.8740492,514054864.43348891,8.9744069647481908,8.5547293897405581,False
LKA,Sri Lanka,Asia,191456.4443806482,7689.6875930640381,443936767.6306029,521779571.99405962,77842804.363456726,17.534660347896494,5709393858.131896,6222092727.7098236,512698869.57792759,8.9799176991037335,8.5547426487927609,False
MNP,Northern Mariana Islands,Oceania,0,0,444120534.38739049,521971028.43844026,77850494.051049769,17.529136354488749,5728240007.0865269,6242313833.0728827,514073825.98635578,8.9743765161792144,8.5547598383095345,False
TON,Tonga,Oceania,0,0,444120534.38739049,521971028.43844026,77850494.051049769,17.529136354488749,5728186199.4917669,6242254711.3693743,514068511.87760735,8.9743680455641979,8.554768308924551,False
MWI,Malawi,Africa,349821.42946920975,80641.363758483203,443851354.32167977,521621207.00897104,77769852.687291265,17.521598600536841,5726328475.0449553,6239798251.5851974,513469776.5402422,8.9668236598357396,8.5547749407011011,False
GUM,Guam,Oceania,0,0,444120534.38739049,521971028.43844026,77850494.051049769,17.529136354488749,5728126652.0868216,6242189321.0728502,514062668.98602867,8.9743593361147109,8.5547770183740379,False
ASM,American Samoa,Oceania,0,0,444120534.38739049,521971028.43844026,77850494.051049769,17.529136354488749,5728238688.0864763,6242311331.072876,514072642.98639965,8.9743579305723049,8.5547784239164439,False
LCA,Saint Lucia,North America,0,0,444120534.38739049,521971028.43844026,77850494.051049769,17.529136354488749,5728118012.34688,6242178431.9163599,514060419.56947994,8.9743336024402733,8.5548027520484755,False
DMA,Dominica,North America,0,0,444120534.38739049,521971028.43844026,77850494.051049769,17.529136354488749,5728224110.4716864,6242294024.4464397,514069913.97475338,8.9743331276964078,8.5548032267923411,False
GRD,Grenada,North America,0,0,444120534.38739049,521971028.43844026,77850494.051049769,17.529136354488749,5728177726.7284584,6242240744.6991539,514063017.9706955,8.9742854096863542,8.5548509448023946,False
IMN,Isle of Man,Europe,0,0,444120534.38739049,521971028.43844026,77850494.051049769,17.529136354488749,5728208133.2260475,6242273583.7796068,514065450.5535593,8.9742802390814091,8.5548561154073397,False
JEY,Jersey,Europe,0,0,444120534.38739049,521971028.43844026,77850494.051049769,17.529136354488749,5728190898.0862713,6242253795.0728159,514062896.98654461,8.9742626622008643,8.5548736922878845,False
COK,Cook Islands,Oceania,0,0,444120534.38739049,521971028.43844026,77850494.051049769,17.529136354488749,5728274379.0864887,6242344229.0728903,514069849.98640162,8.9742532561504564,8.5548830983382924,False
GRL,Greenland,North America,0,0,444120534.38739049,521971028.43844026,77850494.051049769,17.529136354488749,5728235885.0864973,6242301924.0728655,514066038.98636818,8.9742470334495597,8.5548893210391892,False
ABW,Aruba,North America,0,0,444120534.38739049,521971028.43844026,77850494.051049769,17.529136354488749,5728188089.0875387,6242249598.0739613,514061508.98642254,8.9742428319651957,8.5548935225235532,False
BMU,Bermuda,North America,0,0,444120534.38739049,521971028.43844026,77850494.051049769,17.529136354488749,5728228375.086318,6242293119.0729427,514064743.98662472,8.9742361918117197,8.5549001626770291,False
KNA,Saint Kitts and Nevis,North America,0,0,444120534.38739049,521971028.43844026,77850494.051049769,17.529136354488749,5728244790.6347961,6242310847.7700081,514066057.13521194,8.9742333982595728,8.5549029562291761,False
GGY,Guernsey,Europe,0,0,444120534.38739049,521971028.43844026,77850494.051049769,17.529136354488749,5728229656.0861931,6242293329.072753,514063672.98655987,8.9742154880325327,8.5549208664562162,False
FSM,"Micronesia, Federated States of",Oceania,0,0,444120534.38739049,521971028.43844026,77850494.051049769,17.529136354488749,5728218795.7068987,6242281356.6446066,514062560.9377079,8.9742130891190808,8.5549232653696681,False
ATG,Antigua and Barbuda,North America,0,0,444120534.38739049,521971028.43844026,77850494.051049769,17.529136354488749,5728202820.3449707,6242263775.0289612,514060954.68399048,8.9742100761200376,8.5549262783687112,False
SMR,San Marino,Europe,0,0,444120534.38739049,521971028.43844026,77850494.051049769,17.529136354488749,5728261613.4306259,6242327654.8661785,514066041.4355526,8.9742067685990534,8.5549295858896954,False
TUV,Tuvalu,Oceania,0,0,444120534.38739049,521971028.43844026,77850494.051049769,17.529136354488749,5728280933.7474337,6242348186.2805157,514067252.53308201,8.9741976428656045,8.5549387116231443,False
WLF,Wallis and Futuna,Oceania,0,0,444120534.38739049,521971028.43844026,77850494.051049769,17.529136354488749,5728279644.0864801,6242346485.0728931,514066840.986413,8.9741924788379297,8.5549438756508192,False
PLW,Palau,Oceania,0,0,444120534.38739049,521971028.43844026,77850494.051049769,17.529136354488749,5728274480.9869232,6242340390.6895523,514065909.70262909,8.9741843099330811,8.5549520445556677,False
ESP,Canary Islands,Europe,0,0,444120534.38739049,521971028.43844026,77850494.051049769,17.529136354488749,5728231735.539793,6242293582.5666552,514061847.02686214,8.9741803537286557,8.5549560007600931,False
PRT,Azores,Europe,0,0,444120534.38739049,521971028.43844026,77850494.051049769,17.529136354488749,5728276309.0493507,6242342098.4135809,514065789.36423016,8.9741793452268563,8.5549570092618925,False
MCO,Monaco,Europe,0,0,444120534.38739049,521971028.43844026,77850494.051049769,17.529136354488749,5728255327.8032064,6242319138.5145388,514063810.71133232,8.9741776735443892,8.5549586809443596,False
AX2,U.S. Naval Base Guantanamo Bay,North America,0,0,444120534.38739049,521971028.43844026,77850494.051049769,17.529136354488749,5728282690.6353416,6242348786.9572077,514066096.3218661,8.9741747061866697,8.5549616483020792,False
CXR,Christmas Island,Oceania,0,0,444120534.38739049,521971028.43844026,77850494.051049769,17.529136354488749,5728289793.0882788,6242356476.6999636,514066683.6116848,8.9741738316374047,8.5549625228513442,False
SPM,Saint Pierre and Miquelon,North America,0,0,444120534.38739049,521971028.43844026,77850494.051049769,17.529136354488749,5728285920.0864859,6242352118.0728884,514066197.98640251,8.9741714215731943,8.5549649329155546,False
PRT,Madeira Islands,Europe,0,0,444120534.38739049,521971028.43844026,77850494.051049769,17.529136354488749,5728283214.7117949,6242349029.6319799,514065814.92018509,8.9741689726500198,8.5549673818387291,False
MSR,Montserrat,North America,0,0,444120534.38739049,521971028.43844026,77850494.051049769,17.529136354488749,5728287183.086484,6242353347.0728874,514066163.98640347,8.9741688493595593,8.5549675051291896,False
SHN,"Saint Helena, Ascension, and Tristan da Cunha",Africa,0,0,444120534.38739049,521971028.43844026,77850494.051049769,17.529136354488749,5728287202.4307184,6242353277.1067371,514066074.67601871,8.9741672599425879,8.5549690945461609,False
AIA,Anguilla,North America,0,0,444120534.38739049,521971028.43844026,77850494.051049769,17.529136354488749,5728277839.0864506,6242343046.0729122,514065206.98646158,8.9741667814849748,8.554969573003774,False
ESP,Spain (Plazas de Soberania),Europe,0,0,444120534.38739049,521971028.43844026,77850494.051049769,17.529136354488749,5728284516.2123089,6242350211.8228464,514065695.61053753,8.974164850848771,8.5549715036399778,False
WSM,Samoa,Oceania,0,0,444120534.38739049,521971028.43844026,77850494.051049769,17.529136354488749,5728093745.3939762,6242142059.7685232,514048314.374547,8.974160291770696,8.5549760627180529,False
FLK,Falkland Islands (Islas Malvinas),South America,0,0,444120534.38739049,521971028.43844026,77850494.051049769,17.529136354488749,5728288500.2575006,6242354249.2488728,514065748.99137211,8.9741595411659798,8.554976813322769,False
NIU,Niue,Oceania,0,0,444120534.38739049,521971028.43844026,77850494.051049769,17.529136354488749,5728290098.0864849,6242355898.0728779,514065799.98639297,8.9741579281767674,8.5549784263119815,False
XPR,Paracel Islands,Asia,0,0,444120534.38739049,521971028.43844026,77850494.051049769,17.529136354488749,5728290320.191946,6242356138.9982357,514065818.80628967,8.9741579087608834,8.5549784457278655,False
PCN,Pitcairn Islands,Oceania,0,0,444120534.38739049,521971028.43844026,77850494.051049769,17.529136354488749,5728291816.3767433,6242357699.3409996,514065882.96425629,8.9741566848005494,8.5549796696881995,False
CCK,Cocos (Keeling) Islands,Oceania,0,0,444120534.38739049,521971028.43844026,77850494.051049769,17.529136354488749,5728291284.8601027,6242357105.2160826,514065820.35597992,8.9741564245285144,8.5549799299602345,False
XSV,Svalbard,Europe,0,0,444120534.38739049,521971028.43844026,77850494.051049769,17.529136354488749,5728291865.9641523,6242357712.3469105,514065846.38275814,8.9741559685041228,8.5549803859846261,False
