iso3,country_id,country_name,region,worldpop_country_name,country_name_dos_short,country_name_dos_long,highland_population_total_2015,highland_population_total_2025,highland_absolute_change_2015_2025,highland_percent_change_2015_2025,lowland_population_total_2015,lowland_population_total_2025,lowland_absolute_change_2015_2025,lowland_percent_change_2015_2025,highland_minus_lowland_growth_difference_pp,highland_youth_share_2025_percent,lowland_youth_share_2025_percent,country_share_global_highland_2025_population_percent,country_share_global_highland_absolute_growth_percent
MOZ,158,Mozambique,Africa,Mozambique,Mozambique,Republic of Mozambique,35111.796413410484,46609.5891820865,11497.792768676016,32.746238994153501,19295194.370058119,25906020.525371511,6610826.1553133912,34.261516253870624,-1.5152772597171236,44.087989222364605,43.373142398511298,0.0089295356720326992,0.0147690684674864
DZA,68,Algeria,Africa,Algeria,Algeria,People�s Democratic Republic of Algeria,35778.040080585262,42975.091164471254,7197.0510838859918,20.115833812236765,22126061.045798991,26326932.097755913,4200871.0519569218,18.98607729257137,1.1297565196653956,32.051852150814696,29.210067143529866,0.0082332330384385002,0.0092447082984040002
TLS,245,Timor-Leste,Asia,Timor-Leste,Timor-Leste,Democratic Republic of Timor-Leste,29067.664326266397,34137.739093075623,5070.0747668092263,17.442319100361146,786385.21202185377,928841.79277358961,142456.58075173595,18.115368724377419,-0.67304962401627222,38.281172370936936,31.865346936033745,0.0065401597470272996,0.0065125787942778004
IRQ,113,Iraq,Asia,Iraq,Iraq,Republic of Iraq,14910.382927269809,18194.288634521909,3283.9057072520991,22.024288197495704,33743555.898085393,42353423.686658949,8609867.7885735556,25.51559122748554,-3.4913030299898367,35.663120632941464,36.325757652819441,0.0034856893665062001,0.0042182207669725002
SLV,221,El Salvador,North America,El Salvador,El Salvador,Republic of El Salvador,17236.642035660065,17749.595384147782,512.95334848771745,2.9759470982021483,2655273.8932558554,2731198.6232909313,75924.730035075918,2.8593935348032287,0.1165535633989196,26.914371673071617,26.574736170477415,0.0034004943602421998,0.00065889543122400003
LBN,132,Lebanon,Asia,Lebanon,Lebanon,Lebanese Republic,19153.01193241659,17119.350884172978,-2033.6610482436115,-10.617969932977632,4541208.8878011489,4042773.532012424,-498435.35578872496,-10.9758297427729,0.35785980979526849,25.897286542134836,25.89555340428802,0.0032797511646169,-0.0026122647942477999
JOR,120,Jordan,Asia,Jordan,Jordan,Hashemite Kingdom of Jordan,13855.555467971792,17046.752237667264,3191.1967696954707,23.031893431282295,1041332.1645548712,1307708.4604184211,266376.29586354992,25.580338813160104,-2.548445381877809,32.500050348738299,31.740792147403702,0.0032658426059900001,0.0040991348977217996
OMN,179,Oman,Asia,Oman,Oman,Sultanate of Oman,12433.652933270629,16817.30548217387,4383.652548903241,35.256352838780238,3625221.1704362328,4799082.3824898908,1173861.212053658,32.380402653127064,2.8759501856531742,27.947856558036456,24.028349663410577,0.0032218848491429,0.0056308602820538001
ESP,72,Spain,Europe,Canary Islands,Spain,Kingdom of Spain,14860.578123130388,14296.299966444034,-564.27815668635412,-3.7971480787013192,32288692.105153117,33373555.441397056,1084863.3362439389,3.3598862806548917,-7.1570343593562109,9.8552552739210117,12.887719017339982,0.0027389067951172001,-0.00072482283325820004
PAN,181,Panama,North America,Panama,Panama,Republic of Panama,12233.745180686385,14087.100632209753,1853.3554515233664,15.149534538689666,3745442.1715501999,4335629.3147280961,590187.14317789581,15.757475783790392,-0.60794124510072578,29.178708865596892,24.356880207760479,0.0026988280698937001,0.0023806598456626001
AND,6,Andorra,Europe,Andorra,Andorra,Principality of Andorra,12030.427752467622,14024.849411918498,1994.4216594508759,16.578144189775713,0,0,0,0,16.578144189775713,11.448658834506418,0,0.0026869018868491,0.0025618612749497001
MYS,164,Malaysia,Asia,Malaysia,Malaysia,Malaysia,11498.25226707096,13428.086022069512,1929.8337549985536,16.783713821667227,30769400.500703201,35551189.500583231,4781788.9998800308,15.54072852271122,1.2429852989560075,22.435419749915297,21.530770325590225,0.002572573052999,0.0024788972485299998
PRK,189,"Korea, North",Asia,"Korea, North","Korea, North",Democratic People�s Republic of Korea,8859.8513870020615,9320.3489173436265,460.49753034156493,5.1975762371944825,23945712.628206126,24905344.263647936,959631.63544181001,4.007530075807562,1.1900461613869204,18.943382313608691,18.940410539340839,0.0017856065585146999,0.00059151523179739999
TWN,251,Taiwan,Asia,Taiwan,Taiwan�,(no long-form name),8161.0203506502103,8034.5873379162849,-126.43301273392537,-1.5492304552806573,23376309.710444603,23040512.420426428,-335797.2900181748,-1.4364854597564627,-0.11274499552419449,12.117044154318904,11.574985625166439,0.0015392784082199,-0.00016240489450329999
DOM,67,Dominican Republic,North America,Dominican Republic,Dominican Republic,Dominican Republic,7476.7550494914813,7936.4781961811777,459.72314668969648,6.1486987823810511,9875230.8278843351,10926242.51203871,1051011.6841543743,10.642907517530327,-4.4942087351492779,26.55082668414796,26.400794109855845,0.0015204825102888,0.0005905205256478
SWZ,233,Eswatini,Africa,Eswatini,Eswatini,Kingdom of Eswatini,7169.3247338984274,7918.5926764074247,749.26794250899729,10.451025310183873,415702.51854742749,455987.68519159465,40285.166644167155,9.6908642230347759,0.76016108714909691,33.092119950064998,33.17857115734644,0.0015170559753281999,0.00096244468534469995
LAO,131,Laos,Asia,Laos,Laos,Lao People�s Democratic Republic,6678.2333820812619,7360.7296252975511,682.49624321628926,10.219712372549496,5001683.949551085,5806635.9289863985,804951.97943531349,16.09361942006672,-5.8739070475172248,35.503385198952074,28.769515206525419,0.0014101797272768001,0.00087667554526849999
CAN,42,Canada,North America,Canada,Canada,Canada,5539.2049351514725,6120.6494711711248,581.44453601965233,10.496895183094583,30295911.041758209,33812483.207360573,3516572.1656023636,11.607415141783704,-1.110519958689121,12.439091466341406,14.641163747762128,0.0011726032936122,0.00074687327692270005
NER,169,Niger,Africa,Niger,Niger,Republic of Niger,4801.5909046026536,5710.8886643933829,909.29775979072917,18.937426737440401,18982919.948416665,26650626.348090246,7667706.3996735811,40.392660457450503,-21.455233720010103,46.305558407009357,46.42316594872284,0.0010941006977874001,0.0011680051242762999
BGR,26,Bulgaria,Europe,Bulgaria,Bulgaria,Republic of Bulgaria,5707.1594914319412,5332.646556274246,-374.51293515769521,-6.5621599627615961,4897135.1605607113,4581271.4389388021,-315863.72162190918,-6.4499694467437054,-0.1121905160178906,13.45406865728126,14.413451603508744,0.0010216365019774,-0.00048106687018850002
